raw time,,adjusted time,, trigger
1738540684.596,,3.134000063,,0.043137
1738540684.603,,3.141000032,,0.058824
1738540684.610,,3.148000002,,0.070588
1738540684.617,,3.15500021,,0.070588
1738540684.624,,3.162000179,,0.086275
1738540684.631,,3.169000149,,0.094118
1738540684.638,,3.176000118,,0.109804
1738540684.645,,3.183000088,,0.109804
1738540684.652,,3.190000057,,0.129412
1738540684.659,,3.197000027,,0.14902
1738540684.666,,3.203999996,,0.14902
1738540684.673,,3.211000204,,0.168627
1738540684.680,,3.218000174,,0.180392
1738540684.686,,3.224000216,,0.180392
1738540684.694,,3.232000113,,0.192157
1738540684.701,,3.239000082,,0.207843
1738540684.708,,3.246000051,,0.239216
1738540684.714,,3.252000093,,0.239216
1738540684.721,,3.259000063,,0.25098
1738540684.728,,3.266000032,,0.266667
1738540684.735,,3.273000002,,0.266667
1738540684.742,,3.28000021,,0.290196
1738540684.749,,3.287000179,,0.294118
1738540684.756,,3.294000149,,0.294118
1738540684.763,,3.301000118,,0.309804
1738540684.770,,3.308000088,,0.333333
1738540684.777,,3.315000057,,0.333333
1738540684.783,,3.321000099,,0.34902
1738540684.790,,3.328000069,,0.372549
1738540684.798,,3.336000204,,0.4
1738540684.805,,3.343000174,,0.4
1738540684.812,,3.350000143,,0.443137
1738540684.819,,3.357000113,,0.470588
1738540684.826,,3.364000082,,0.470588
1738540684.833,,3.371000051,,0.501961
1738540684.840,,3.378000021,,0.529412
1738540684.847,,3.38499999,,0.529412
1738540684.854,,3.392000198,,0.560784
1738540684.861,,3.399000168,,0.584314
1738540684.867,,3.40500021,,0.607843
1738540684.875,,3.413000107,,0.607843
1738540684.882,,3.420000076,,0.627451
1738540684.889,,3.427000046,,0.635294
1738540684.895,,3.433000088,,0.635294
1738540684.902,,3.440000057,,0.635294
1738540684.909,,3.447000027,,0.635294
1738540684.916,,3.453999996,,0.635294
1738540684.923,,3.461000204,,0.643137
1738540684.930,,3.468000174,,0.65098
1738540684.937,,3.475000143,,0.65098
1738540684.944,,3.482000113,,0.666667
1738540684.951,,3.489000082,,0.698039
1738540684.957,,3.495000124,,0.729412
1738540684.967,,3.505000114,,0.729412
1738540684.972,,3.50999999,,0.768627
1738540684.978,,3.516000032,,0.807843
1738540684.986,,3.524000168,,0.807843
1738540684.992,,3.53000021,,0.843137
1738540685.000,,3.538000107,,0.882353
1738540685.007,,3.545000076,,0.882353
1738540685.014,,3.552000046,,0.956863
1738540685.021,,3.559000015,,1
1738540685.028,,3.566000223,,1
1738540685.034,,3.572000027,,1
1738540685.041,,3.578999996,,1
1738540685.049,,3.587000132,,1
1738540685.055,,3.593000174,,1
1738540685.062,,3.600000143,,1
1738540685.069,,3.607000113,,1
1738540685.076,,3.614000082,,1
1738540685.083,,3.621000051,,1
1738540685.090,,3.628000021,,1
1738540685.097,,3.63499999,,1
1738540685.104,,3.642000198,,1
1738540685.111,,3.649000168,,1
1738540685.118,,3.656000137,,1
1738540685.126,,3.664000034,,1
1738540685.132,,3.670000076,,1
1738540685.138,,3.676000118,,1
1738540685.146,,3.684000015,,1
1738540685.152,,3.690000057,,1
1738540685.160,,3.698000193,,1
1738540685.166,,3.703999996,,1
1738540685.174,,3.712000132,,1
1738540685.181,,3.719000101,,1
1738540685.187,,3.725000143,,1
1738540685.194,,3.732000113,,1
1738540685.201,,3.739000082,,1
1738540685.208,,3.746000051,,1
1738540685.215,,3.753000021,,1
1738540685.222,,3.75999999,,1
1738540685.229,,3.767000198,,1
1738540685.235,,3.773000002,,1
1738540685.242,,3.78000021,,1
1738540685.249,,3.787000179,,1
1738540685.257,,3.795000076,,1
1738540685.263,,3.801000118,,1
1738540685.270,,3.808000088,,1
1738540685.278,,3.816000223,,1
1738540685.287,,3.825000048,,1
1738540685.292,,3.830000162,,1
1738540685.299,,3.837000132,,1
1738540685.307,,3.845000029,,1
1738540685.313,,3.851000071,,1
1738540685.320,,3.85800004,,1
1738540685.326,,3.864000082,,1
1738540685.333,,3.871000051,,1
1738540685.340,,3.878000021,,1
1738540685.347,,3.88499999,,1
1738540685.354,,3.892000198,,1
1738540685.361,,3.899000168,,1
1738540685.368,,3.906000137,,1
1738540685.375,,3.913000107,,1
1738540685.382,,3.920000076,,1
1738540685.388,,3.926000118,,1
1738540685.395,,3.933000088,,1
1738540685.402,,3.940000057,,1
1738540685.410,,3.948000193,,1
1738540685.417,,3.955000162,,1
1738540685.424,,3.962000132,,1
1738540685.431,,3.969000101,,1
1738540685.438,,3.976000071,,1
1738540685.447,,3.985000134,,1
1738540685.452,,3.99000001,,1
1738540685.459,,3.997000217,,1
1738540685.467,,4.005000114,,1
1738540685.472,,4.00999999,,1
1738540685.480,,4.018000126,,1
1738540685.486,,4.024000168,,1
1738540685.492,,4.03000021,,1
1738540685.500,,4.038000107,,1
1738540685.507,,4.045000076,,1
1738540685.514,,4.052000046,,1
1738540685.521,,4.059000015,,1
1738540685.528,,4.066000223,,1
1738540685.535,,4.073000193,,1
1738540685.542,,4.080000162,,1
1738540685.549,,4.087000132,,1
1738540685.555,,4.093000174,,1
1738540685.562,,4.100000143,,1
1738540685.570,,4.10800004,,1
1738540685.576,,4.114000082,,1
1738540685.583,,4.121000051,,1
1738540685.590,,4.128000021,,1
1738540685.597,,4.13499999,,1
